"vehicle_type","towing_and_articulation","vehicle_manoeuvre","vehicle_location.restricted_lane","junction_location","skidding_and_overturning","hit_object_in_carriageway","vehicle_leaving_carriageway","hit_object_off_carriageway","X1st_point_of_impact","was_vehicle_left_hand_drive.","journey_purpose_of_driver","sex_of_driver","age_of_driver","age_band_of_driver","engine_capacity_.cc.","propulsion_code","age_of_vehicle","driver_home_area_type","number_of_vehicles","day_of_week","time","X1st_road_class","road_type","speed_limit","junction_detail","junction_control","X2nd_road_class","pedestrian_crossing.human_control","pedestrian_crossing.physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","pedestrian_location","pedestrian_movement","fatal"
9,0,9,0,8,0,0,0,0,1,1,6,1,36,7,2685,2,11,1,2,7,"10:20:00",3,6,30,6,2,5,0,5,1,1,1,0,0,1,"NA","NA",0
1,0,18,0,8,0,0,0,0,3,1,6,2,36,7,NA,NA,NA,1,2,7,"10:20:00",3,6,30,6,2,5,0,5,1,1,1,0,0,1,"0","0",0
9,0,18,0,4,0,10,3,4,1,1,6,1,30,6,698,1,8,NA,2,7,"22:43:00",3,1,30,1,2,3,0,0,4,1,1,0,0,1,"0","0",0
9,0,18,0,1,0,0,0,0,0,1,1,1,41,7,1396,2,1,NA,2,7,"22:43:00",3,1,30,1,2,3,0,0,4,1,1,0,0,1,"NA","NA",0
9,0,1,0,8,0,0,0,0,2,1,3,2,30,6,1363,2,13,NA,1,5,"15:06:00",6,6,20,3,4,6,0,0,1,1,1,0,0,1,"5","1",0
9,0,18,0,8,0,0,1,0,3,1,6,2,28,6,1995,2,9,1,2,2,"16:47:00",3,6,30,6,2,6,0,0,1,1,1,0,0,1,"0","0",0
18,0,18,1,8,0,0,0,0,1,1,1,1,54,8,NA,NA,NA,1,2,2,"16:47:00",3,6,30,6,2,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,3,0,8,0,0,0,0,1,1,1,1,53,8,2360,1,14,1,2,5,"17:06:00",6,6,20,6,4,6,0,0,1,1,1,0,3,1,"NA","NA",0
9,0,4,0,8,0,0,0,0,4,1,2,2,50,8,1242,1,3,1,2,5,"17:06:00",6,6,20,6,4,6,0,0,1,1,1,0,3,1,"0","0",0
9,0,18,0,0,0,0,0,0,0,1,1,3,30,6,NA,NA,NA,NA,2,3,"17:15:00",3,3,50,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,12,0,0,0,0,0,0,0,1,1,1,24,5,1598,1,3,1,2,3,"17:15:00",3,3,50,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
5,0,14,0,1,0,0,0,0,4,1,6,1,49,8,399,1,25,1,2,3,"20:00:00",4,6,30,3,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,9,0,1,0,0,0,0,1,1,6,1,52,8,1796,1,8,1,2,3,"20:00:00",4,6,30,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,9,0,8,0,0,0,0,4,1,6,1,45,7,1796,1,15,NA,2,4,"15:10:00",6,6,30,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
